iter	Accuracy	MultiClass
80	0.7037192594	0.772585014
81	0.7045872439	0.7707648789
82	0.7035385182	0.76902066
83	0.7042290089	0.7671563105
84	0.7040612573	0.7653391276
85	0.7056327222	0.7636438751
86	0.7066782005	0.7619482111
87	0.7061554614	0.7604905253
88	0.7077301736	0.7589586288
89	0.7080721716	0.7574309687
90	0.7080786664	0.7559712377
91	0.7089498983	0.7545865994
92	0.7085981582	0.7533265701
93	0.7089466509	0.7518345383
94	0.7099888819	0.7503311997
95	0.7103308798	0.7489066079
96	0.7113731108	0.7473174748
97	0.7122508375	0.7460092064
98	0.7124315787	0.7445818346
99	0.7124250839	0.7432511835
100	0.7124218365	0.7417875201
101	0.7125993303	0.7405880665
102	0.7127800714	0.7393243346
103	0.7127800714	0.7379417496
104	0.712776824	0.7366277918
105	0.7138255498	0.7352253155
106	0.7132995632	0.7339985356
107	0.7141740425	0.7328147649
108	0.7129543178	0.7316435809
109	0.7127800714	0.7304043666
110	0.7138223024	0.7292400557
111	0.7134738096	0.7281503631
112	0.7143417941	0.7269058514
113	0.7150387797	0.725606406
114	0.7153872724	0.7245950177
115	0.7169554899	0.7234360522
116	0.7176524754	0.7224076814
117	0.718349461	0.7212090761
118	0.7188786949	0.7199750207
119	0.7199241733	0.7190353509
120	0.7206179114	0.7178170448
121	0.720614664	0.7167784629
122	0.7206179114	0.7154540046
123	0.7207824156	0.714390639
124	0.7216633897	0.7132476541
125	0.7227153628	0.712125471
126	0.7232348546	0.7111420224
127	0.7237640885	0.7100919763
128	0.7230606082	0.7091167527
129	0.7237608411	0.7081953671
130	0.7241060865	0.7072256018
131	0.7244545793	0.7061368157
132	0.7242738381	0.7051523394
133	0.7248063195	0.7042142944
134	0.7247965773	0.7031823359
135	0.7247998247	0.7020967119
136	0.7253258112	0.7010249462
137	0.7254968102	0.7000899594
138	0.7256710566	0.6991945179
139	0.7263647947	0.6981535165
140	0.7261937957	0.697287574
141	0.7268907813	0.696403035
142	0.7272392741	0.6953919282
143	0.7279460018	0.694325317
144	0.7286397399	0.6935340138
145	0.7282879998	0.6926933678
146	0.7293334781	0.6916454918
147	0.7296819709	0.6908724632
148	0.7296852183	0.6899409296
149	0.7312566831	0.6890049122
150	0.7319536687	0.6880985239
151	0.7324764078	0.6873655875
152	0.7321246677	0.6865681924
153	0.7326506542	0.6856942564
154	0.7333476398	0.6848745261
155	0.7333443924	0.6843594531
156	0.7331636512	0.6836536
157	0.7340446253	0.6828467882
158	0.7347383634	0.6820072559
159	0.7345673645	0.6813150919
160	0.7345706119	0.6806186808
161	0.7347448582	0.6798903347
162	0.7342221191	0.6791770675
163	0.7350901036	0.6784389448
164	0.7354385964	0.6777730303
165	0.7361388293	0.6770270638
166	0.7368390623	0.676178047
167	0.7361355819	0.6753797288
168	0.7373553066	0.674620879
169	0.7368293201	0.6738168843
170	0.7371843076	0.6731545319
171	0.7373553066	0.6724111078
172	0.7377070468	0.6717183346
173	0.7378812932	0.670943073
174	0.7382330334	0.6702006441
175	0.738229786	0.6694112337
176	0.7384007849	0.6685947946
177	0.7378650562	0.6678044203
178	0.7383975375	0.6670742471
179	0.7382200438	0.6663228321
180	0.7389202767	0.6655678904
181	0.7387492777	0.664961303
182	0.7387525251	0.6643505542
183	0.7389267715	0.6637465393
184	0.7394495107	0.6630593689
185	0.7392785117	0.6623554732
186	0.7398077456	0.6616997302
187	0.739981992	0.661011369
188	0.7406757302	0.6602653604
189	0.7410242229	0.6594809772
190	0.7412049641	0.6587386225
191	0.7412082115	0.6580424044
192	0.7413759631	0.6574085753
193	0.7424311836	0.6567239661
194	0.7424279362	0.6560718119
195	0.7427796764	0.6554109474
196	0.7432959207	0.6547281288
197	0.7432959207	0.6540313798
198	0.7432959207	0.6535111686
199	0.7431216744	0.6529570084
200	0.7434734145	0.6522913349
201	0.7434701671	0.6516721966
202	0.7434604249	0.6508861929
203	0.7432764364	0.6504103461
204	0.742931191	0.6497677147
205	0.7434604249	0.649134973
206	0.7434571775	0.6485014047
207	0.7429344384	0.6478406223
208	0.7432861785	0.6472859722
209	0.7429344384	0.6467370919
210	0.7429376858	0.6460829231
211	0.7439831641	0.6455298679
212	0.7434604249	0.6450342776
213	0.7438089177	0.6445213887
214	0.7443349043	0.6440019079
215	0.7443316569	0.6432798164
216	0.7446801496	0.6426523017
217	0.7448576434	0.6421022982
218	0.7450318898	0.6415020078
219	0.7450318898	0.6409865428
220	0.7452061362	0.6404370585
221	0.745554629	0.6399793886
222	0.745725628	0.6393225549
223	0.7453803826	0.6388467956
224	0.7455513816	0.6383721467
225	0.7464323557	0.6377819038
226	0.7462548619	0.6372135202
227	0.7469518474	0.6366550964
228	0.747648833	0.6361684721
229	0.7480038206	0.6355331149
230	0.7480038206	0.634978298
231	0.7478328216	0.6344717463
232	0.7481813143	0.6340008105
233	0.7474843288	0.6334836314
234	0.7474875762	0.6329335122
235	0.747306835	0.6322856282
236	0.7474810814	0.6318104325
237	0.7478295742	0.6313286544
238	0.7476553278	0.6308163979
239	0.7490557937	0.6303454273
240	0.749401039	0.6298262188
241	0.7487008061	0.6292793854
242	0.7490590411	0.6287657372
243	0.7494042864	0.6282278402
244	0.750101272	0.6277785458
245	0.7504530122	0.6272763895
246	0.7504497648	0.6267846417
247	0.7518469832	0.6262813061
248	0.7518469832	0.6257810816
249	0.7511467503	0.6253255581
250	0.7513177493	0.6247961844
251	0.7509725039	0.6242639644
252	0.7511499977	0.62377421
253	0.7514984905	0.623256084
254	0.7511435029	0.6227142709
255	0.7504465174	0.6222528426
256	0.7515017379	0.621716722
257	0.7516792317	0.6212019639
258	0.7520309718	0.6207492742
259	0.751853478	0.6202380675
260	0.7525569584	0.6198308346
261	0.7514919957	0.6193732005
262	0.7521889812	0.6188590223
263	0.7527117204	0.6182555642
264	0.752708473	0.6178765649
265	0.7527052256	0.6173511356
266	0.7534054585	0.6168508708
267	0.7542766905	0.6164710115
268	0.7539217029	0.6160112307
269	0.7542799379	0.6155804517
270	0.7549801708	0.6151503022
271	0.7553286636	0.6147631502
272	0.754802677	0.6142798649
273	0.7553351584	0.6137972265
274	0.7549801708	0.6133278122
275	0.7555029099	0.6128693571
276	0.7554996626	0.6125044798
277	0.7554996626	0.6121262483
278	0.7555029099	0.6116588528
279	0.7554996626	0.6112533989
280	0.7558416605	0.6108619547
281	0.7558416605	0.6105100566
282	0.7561836585	0.6100971648
283	0.7567063977	0.6096182904
284	0.7560094121	0.6092316907
285	0.7563611523	0.6088412544
286	0.7567096451	0.6083970133
287	0.7568871388	0.6079542789
288	0.757238879	0.6075356788
289	0.7570613852	0.6071488337
290	0.7572323842	0.6067078876
291	0.757580877	0.6062933141
292	0.7574066306	0.6058972123
293	0.7572323842	0.6054958165
294	0.7582843573	0.6050641708
295	0.7588103439	0.6046509753
296	0.7582876047	0.6042276656
297	0.7588070965	0.6038605119
298	0.7595105768	0.6033860061
299	0.7596783284	0.6029710966
300	0.7596653388	0.6025798134
301	0.7596685862	0.6021289762
302	0.7598395852	0.6017422515
303	0.7600138316	0.6014139486
304	0.7601978202	0.600925064
305	0.760375314	0.600549556
306	0.7601978202	0.6000218126
307	0.7607270541	0.5996399017
308	0.7605463129	0.5991753643
309	0.7607173119	0.5987770533
310	0.7610690521	0.598365474
311	0.7623050138	0.5979971435
312	0.762656754	0.5975334232
313	0.7630052467	0.597246446
314	0.7633569869	0.596865185
315	0.7635344807	0.5965220386
316	0.764237961	0.596182109
317	0.7640637146	0.5958483198
318	0.7649284518	0.5954203731
319	0.7651026982	0.5950912656
320	0.7649252044	0.5947016781
321	0.7645767116	0.5942450766
322	0.7652834393	0.5937882114
323	0.7652866867	0.5934683361
324	0.7649316992	0.5930428741
325	0.7652866867	0.592651849
326	0.7654576857	0.5922380933
327	0.7654544383	0.5918602514
328	0.7650994508	0.5914802549
329	0.7650994508	0.5911098222
330	0.7652769446	0.5908234604
331	0.764921957	0.5904125189
332	0.7654479435	0.5900220386
333	0.7657996837	0.5895710716
334	0.7656286847	0.589226636
335	0.7659804249	0.5889139759
336	0.7656254373	0.5884811645
337	0.7654479435	0.5880907747
338	0.7657964363	0.5877231783
339	0.7661449291	0.5873757584
340	0.7666676682	0.5870047775
341	0.7675421476	0.5866098401
342	0.7671969022	0.5862373886
343	0.7671936548	0.585924742
344	0.7684198743	0.5855292468
345	0.7677228887	0.5851789576
346	0.767545395	0.5848089813
347	0.767545395	0.5844357773
348	0.7677196414	0.5840420286
349	0.767716394	0.5837047299
350	0.7684133795	0.5833132256
351	0.7685908733	0.5829669561
352	0.7685908733	0.5826519491
353	0.7687683671	0.5823347779
354	0.7684198743	0.5820036973
355	0.7682456279	0.5815891405
356	0.7691168598	0.5812248767
357	0.7692911062	0.5807706324
358	0.7692911062	0.5804074882
359	0.7692878588	0.5800128855
360	0.769810598	0.5796422442
361	0.7701623382	0.5792173588
362	0.7705140783	0.5787698766
363	0.7705140783	0.5784044907
364	0.7701655856	0.5780527048
365	0.7710400649	0.5777551463
366	0.7712208061	0.5774656288
367	0.7713950524	0.5771617853
368	0.7713982998	0.5768048878
369	0.7710465597	0.5764233255
370	0.7713950524	0.5760881623
371	0.7712175587	0.5757283527
372	0.7712240535	0.5753848877
373	0.7712240535	0.5749790799
374	0.7714015472	0.5746332924
375	0.7719242864	0.5743147844
376	0.7722760266	0.5739784545
377	0.7726277667	0.5735989873
378	0.7733247523	0.5732450565
379	0.7722760266	0.572881289
380	0.772450273	0.5725653494
381	0.7729762595	0.5722842575
382	0.7728020131	0.5719201317
383	0.7729762595	0.5715808795
384	0.7727955183	0.5712464678
385	0.7727987657	0.5709131471
386	0.7729665173	0.5705278556
387	0.7731407637	0.5702526784
388	0.7729632699	0.5700135339
389	0.7734892565	0.5696743325
390	0.7736699977	0.5693161715
391	0.774373478	0.5689560502
392	0.7745509718	0.5687222978
393	0.774202479	0.5683891102
394	0.7752544521	0.5680392504
395	0.7752544521	0.5677408609
396	0.774902712	0.5674242907
397	0.7748994646	0.5671163317
398	0.7752512047	0.5668002766
399	0.7752512047	0.5664607522
400	0.7752544521	0.5660870543
401	0.7754319459	0.5657576778
402	0.7754351933	0.5654358842
403	0.7752544521	0.5651111256
404	0.7754254511	0.564821899
405	0.7756061923	0.564527531
406	0.7761289315	0.5642053197
407	0.7759546851	0.563855557
408	0.7766516706	0.5635183661
409	0.7768356592	0.5632109058
410	0.7764741768	0.5629173079
411	0.7763031778	0.5626311079
412	0.776825917	0.5623665511
413	0.7773583984	0.5620924575
414	0.7777068911	0.5617839959
415	0.7777036437	0.5614634209
416	0.7785813705	0.5611794777
417	0.7780488891	0.5609130456
418	0.7776971489	0.5606586284
419	0.7777003963	0.5603082757
420	0.7780521365	0.5599344185
421	0.7784006293	0.5596447713
422	0.7789233684	0.5593642965
423	0.7792718612	0.5590446689
424	0.7794461076	0.5587836694
425	0.7789233684	0.5584334703
426	0.7791008622	0.5580537821
427	0.7803270817	0.557754883
428	0.7803270817	0.5574164283
429	0.7799785889	0.557163341
430	0.7804980807	0.5568649909
431	0.7799753415	0.5566133469
432	0.7803238343	0.5563085813
433	0.7806723271	0.5561065692
434	0.7806723271	0.5558333402
435	0.7815500538	0.5555880658
436	0.7813693126	0.555269299
437	0.7817210528	0.5550064195
438	0.7813660652	0.5547301254
439	0.7817178054	0.554501812
440	0.7813660652	0.5542909064
441	0.7813693126	0.5540505137
442	0.7811885714	0.5537770938
443	0.7815403116	0.5534773135
444	0.7813595704	0.5532093411
445	0.7813595704	0.5529720348
446	0.781185324	0.5527321479
447	0.7813628178	0.5525007921
448	0.7817080632	0.5522774616
449	0.7818888044	0.5520173296
450	0.7825922847	0.5516072968
451	0.7820630508	0.5513538017
452	0.7822405446	0.5510806437
453	0.7825955321	0.5507773913
454	0.7832860229	0.5504944066
455	0.7834635167	0.5502579136
456	0.7831150239	0.550021997
457	0.7831182713	0.5497189006
458	0.7831182713	0.5494300389
459	0.7829440249	0.5491524491
460	0.7829407775	0.5489116871
461	0.7834700115	0.5486226738
462	0.7838152568	0.5483863385
463	0.7838185042	0.5481396317
464	0.7838185042	0.5478781011
465	0.7836442578	0.5476305649
466	0.7834700115	0.5473886601
467	0.7836410104	0.547086035
468	0.7839927506	0.5467816721
469	0.7845187372	0.5465007606
470	0.7848672299	0.5462651358
471	0.7846929836	0.5460374369
472	0.7846897362	0.5457570005
473	0.7850382289	0.545457523
474	0.7852157227	0.5452154227
475	0.7848639825	0.5449763546
476	0.7852157227	0.5447614067
477	0.7848672299	0.5444903682
478	0.7857384619	0.5441945281
479	0.7857384619	0.5439454537
480	0.7857384619	0.5437180096
481	0.7855674629	0.5434231063
482	0.7859127083	0.5431662415
483	0.7859127083	0.5428569045
484	0.7862676958	0.5425530446
485	0.786090202	0.5422671713
486	0.7862644484	0.5420576101
487	0.7862644484	0.5418033398
488	0.7866161886	0.5415351677
489	0.7867969298	0.5413025107
490	0.7869711762	0.5410680448
491	0.7869711762	0.5408373096
492	0.7867936824	0.5405897093
493	0.7866161886	0.5403097341
494	0.7866161886	0.5400413609
495	0.7866161886	0.5397894304
496	0.7860869546	0.5395340525
497	0.7864386948	0.5392856319
498	0.7866161886	0.5390289218
499	0.7871389278	0.538809644
500	0.7874874205	0.5385391481
501	0.7874906679	0.538276967
502	0.7873131741	0.5380480371
503	0.7873131741	0.5378446268
504	0.7873131741	0.5375832958
505	0.7874906679	0.5374217574
506	0.7876649143	0.5371728146
507	0.7874939153	0.5369006252
508	0.7876714091	0.5366895159
509	0.7876681617	0.5364380957
510	0.7873164215	0.5361517691
511	0.7876649143	0.5358296239
512	0.7881941483	0.5355550287
513	0.7887201348	0.5353483589
514	0.7881941483	0.5351021857
515	0.7888911338	0.5349086924
516	0.789242874	0.5346664919
517	0.7894171204	0.5344146493
518	0.7890653802	0.5340980459
519	0.7890686276	0.5339022618
520	0.789242874	0.5336515843
521	0.7895946141	0.5333524712
522	0.7894203678	0.5331665066
523	0.7897721079	0.5329138062
524	0.7895946141	0.5327174012
525	0.7901173533	0.5324885336
526	0.7904723409	0.5322780642
527	0.7904723409	0.5320366094
528	0.7904690935	0.5317608142
529	0.7899431069	0.5314386953
530	0.7904658461	0.5311638928
531	0.7902915997	0.5308778805
532	0.7902948471	0.5306525406
533	0.7902948471	0.5303840095
534	0.7908208336	0.5301739419
535	0.79099508	0.5298828828
536	0.7913468202	0.5296304488
537	0.7915210666	0.5294530651
538	0.7911725738	0.5292474372
539	0.7913500676	0.5290019034
540	0.7915275614	0.5287624731
541	0.7918760542	0.528552317
542	0.7917018078	0.5283341556
543	0.7920535479	0.5280860631
544	0.7920535479	0.5278384153
545	0.7920535479	0.5276458105
546	0.7922245469	0.5274518415
547	0.7922277943	0.5272342348
548	0.7929280273	0.5269468213
549	0.79327652	0.5267257861
550	0.7932732726	0.5265012485
551	0.793447519	0.5262792779
552	0.7937992592	0.5260402962
553	0.7943284932	0.5257210084
554	0.7943317406	0.5255407035
555	0.7943252458	0.5252843425
556	0.7943219984	0.5250886361
557	0.7948414901	0.5248359322
558	0.7950157365	0.5245780005
559	0.7950189839	0.5243673225
560	0.795712722	0.5241645669
561	0.7957094746	0.5239941689
562	0.795883721	0.5238121397
563	0.795883721	0.5236202372
564	0.7964097076	0.5234248446
565	0.7964097076	0.5231808197
566	0.7967614478	0.5229621648
567	0.796583954	0.5227683759
568	0.7962322138	0.5225490584
569	0.7967582004	0.5223882835
570	0.7967614478	0.5221587651
571	0.7965872014	0.5218921041
572	0.7969356941	0.521650072
573	0.7967646952	0.5214026059
574	0.7972906817	0.5211884309
575	0.7971164353	0.5209780458
576	0.7971164353	0.5207781342
577	0.7969421889	0.5205720309
578	0.7969389415	0.5204413966
579	0.7967614478	0.5202314346
580	0.7971131879	0.520056703
581	0.7972874343	0.5198106051
582	0.7978199157	0.5195716866
583	0.7978231631	0.5193326124
584	0.798352397	0.5191531352
585	0.7981781506	0.518927719
586	0.7976489167	0.5187257921
587	0.7980006569	0.5184774554
588	0.7974681755	0.5182422823
589	0.7978231631	0.5180226837
590	0.7985266434	0.5177987552
591	0.798352397	0.517562477
592	0.7994043701	0.5173335277
593	0.7997561103	0.5171218555
594	0.7997561103	0.516890427
595	0.7994043701	0.5166907575
596	0.7992301238	0.5165112861
597	0.7995818639	0.5163152927
598	0.7999336041	0.5161372382
599	0.7999368515	0.5159414448
600	0.7999368515	0.5157269102
601	0.8002918391	0.5155599947
602	0.7997626051	0.5153122075
603	0.8002885917	0.5150810583
604	0.8002885917	0.5148777874
605	0.8006403318	0.5146513423
606	0.800462838	0.5143801397
607	0.8009855772	0.5141878822
608	0.8008080834	0.5138671767
609	0.8009855772	0.5136321323
610	0.8006370844	0.5134074801
611	0.8011598236	0.5131773479
612	0.8009855772	0.5129621044
613	0.8009855772	0.5127675487
614	0.8009855772	0.5125903414
615	0.8009855772	0.512404377
616	0.8008113308	0.5121511154
617	0.8009888246	0.5119373305
618	0.8011663184	0.5117303755
619	0.8016923049	0.5114802552
620	0.8016923049	0.5112987648
621	0.8013405648	0.5111140522
622	0.8015148112	0.5109405354
623	0.8013405648	0.5107531084
624	0.8013405648	0.510577842
625	0.8015148112	0.5103604129
626	0.8015115638	0.5102048487
627	0.8016825627	0.5100010496
628	0.8018600565	0.5097841139
629	0.8022117967	0.5095409635
630	0.8022085493	0.5093201301
631	0.8034347688	0.5091207155
632	0.8029087822	0.5089330815
633	0.8034347688	0.5086952011
634	0.8037832616	0.5085563849
635	0.8041350017	0.5083833417
636	0.8036057678	0.5081989745
637	0.8037832616	0.5080112238
638	0.8034347688	0.5077920473
639	0.8034347688	0.507520747
640	0.8044802471	0.5073248197
641	0.8046577409	0.507089994
642	0.8048352347	0.5068680725
643	0.8044834945	0.5066437367
644	0.8051837275	0.5063903932
645	0.8051837275	0.5061997671
646	0.8053612212	0.5060332624
647	0.8058937026	0.5058188797
648	0.8057162088	0.5056600621
649	0.8051869749	0.5054924395
650	0.8058872078	0.5053279136
651	0.8055354676	0.5051830733
652	0.8053612212	0.5050297851
653	0.8058839604	0.5048390277
654	0.8060614542	0.5045625633
655	0.8058839604	0.504384683
656	0.8062324532	0.5042108843
657	0.8062324532	0.5039739515
658	0.8060549594	0.5038191513
659	0.8060549594	0.5036763578
660	0.8064034522	0.5034881426
661	0.8065776985	0.503339742
662	0.8062292058	0.5031310389
663	0.8064066996	0.5029515099
664	0.8064066996	0.5027662076
665	0.8065841933	0.5026245362
666	0.8065874407	0.5024280489
667	0.8069359335	0.5021728552
668	0.8072844263	0.502006131
669	0.8065809459	0.5018343405
670	0.8067584397	0.5016638051
671	0.8069359335	0.5014478301
672	0.8067584397	0.5012979976
673	0.8071036851	0.5010822595
674	0.8069261913	0.5008856245
675	0.8069261913	0.5007609261
676	0.8076264243	0.5005784887
677	0.807803918	0.5004236759
678	0.8072746841	0.5002589417
679	0.8070971903	0.5001081715
680	0.8072746841	0.4999086053
681	0.8072746841	0.4997406048
682	0.8074489305	0.4996040267
683	0.8076264243	0.4994108461
684	0.8077974232	0.4992425152
685	0.8072681893	0.4990661558
686	0.8077909285	0.4988468154
687	0.8070939429	0.4986718808
688	0.8072714367	0.4984827684
689	0.807974917	0.4982939308
690	0.8077974232	0.4981071626
691	0.8077974232	0.497978772
692	0.807974917	0.4977905215
693	0.8076199295	0.4976094539
694	0.8074489305	0.4974538156
695	0.8078006706	0.4973040307
696	0.807974917	0.4971345686
697	0.8079716696	0.4969714019
698	0.8077941758	0.4968106035
699	0.8088493964	0.496642864
700	0.80867515	0.4964635188
701	0.8084976562	0.4962317265
702	0.8088493964	0.4960703928
703	0.8092011365	0.4958905333
704	0.8090268901	0.4957141206
705	0.8088493964	0.4954905998
706	0.8091978891	0.4952630347
707	0.8090268901	0.4950731404
708	0.8097238757	0.4949135062
709	0.8095496293	0.4947675357
710	0.8100756159	0.4945561414
711	0.8100756159	0.4944046999
712	0.810427356	0.4942511267
713	0.810427356	0.4940750265
714	0.8106016024	0.4939002136
715	0.8102498622	0.4937555775
716	0.8100788633	0.4936292025
717	0.8107758488	0.4934656321
718	0.8109500952	0.4932964606
719	0.8118278219	0.4931108872
720	0.8106048498	0.4929156936
721	0.8107790962	0.4928058103
722	0.8109533426	0.4925946862
723	0.8107758488	0.4924671143
724	0.8109500952	0.4923146799
725	0.8111243416	0.4921595309
726	0.8111243416	0.4919406238
727	0.811298588	0.4918017295
728	0.8116470807	0.4916798491
729	0.8116470807	0.4915330609
730	0.8118213271	0.4913869934
731	0.8119955735	0.4911801048
732	0.8114695869	0.4910084236
733	0.8116438333	0.490828059
734	0.8116438333	0.4906758036
735	0.8118180797	0.4904994905
736	0.8119923261	0.4903310679
737	0.8111210942	0.4901784383
738	0.8111178468	0.4900685343
739	0.8111178468	0.4899142859
740	0.8111178468	0.4897253567
741	0.8116405859	0.4895561548
742	0.8116405859	0.4893997411
743	0.8111178468	0.4892324148
744	0.8112920932	0.4890530317
745	0.8116405859	0.4889225829
746	0.8111178468	0.488744014
747	0.8114663395	0.4885493974
748	0.8116405859	0.4883746984
749	0.8112920932	0.4882147176
750	0.8112953406	0.488111597
751	0.8112953406	0.4878798398
752	0.8116470807	0.4877031218
753	0.8116470807	0.4874598408
754	0.8114728343	0.4872737777
755	0.8114728343	0.4871030864
756	0.8116503281	0.4869086829
757	0.8116503281	0.4867973663
758	0.8118245745	0.4866619599
759	0.8119988209	0.486509944
760	0.8121730673	0.4863500905
761	0.8119988209	0.4861972706
762	0.8123473137	0.4860389643
763	0.8128733002	0.485845236
764	0.8128733002	0.4856805567
765	0.8128733002	0.4854754743
766	0.8128733002	0.4853194251
767	0.813221793	0.4850871343
768	0.8128733002	0.4849430451
769	0.8133960394	0.4847925752
770	0.8133960394	0.4846134127
771	0.8137445322	0.4844214186
772	0.8140930249	0.4842641836
773	0.8140930249	0.4840981735
774	0.8140930249	0.4839592823
775	0.8137445322	0.4837491606
776	0.8137445322	0.4836041387
777	0.8137445322	0.4834602751
778	0.8144415177	0.4833089545
779	0.8142672713	0.4831591207
780	0.8140930249	0.4829989001
781	0.8139187785	0.4828400629
782	0.8139187785	0.4826802003
783	0.8139187785	0.4825277659
784	0.8142672713	0.4823347088
785	0.8149642569	0.4821970286
786	0.8146157641	0.4820523563
787	0.8149642569	0.4818814142
788	0.8149642569	0.4816863247
789	0.8153127496	0.481562107
790	0.8156612424	0.481398647
791	0.8158387362	0.4812443519
792	0.8158387362	0.4811143799
793	0.8154837486	0.4809800917
794	0.8158387362	0.4808270747
795	0.8154902434	0.4806280299
796	0.8154902434	0.4804706166
797	0.8154902434	0.4802994165
798	0.815315997	0.4801320827
799	0.8153192444	0.4798940129
800	0.8151417506	0.4797126864
801	0.8154902434	0.4795043335
802	0.8154934908	0.4793347178
803	0.8156709846	0.479150733
804	0.8161937238	0.4790084864
805	0.815845231	0.4788794051
806	0.8160194774	0.4786733398
807	0.8161937238	0.4785417151
808	0.8154934908	0.4783774201
809	0.8154934908	0.4782021527
810	0.8154934908	0.4780650695
811	0.8161937238	0.4779281704
812	0.8168972041	0.4777559363
813	0.8167229577	0.4775939275
814	0.8170714505	0.4774446059
815	0.8167197103	0.4772841111
816	0.8170714505	0.4771111827
817	0.8172521917	0.4769294428
818	0.8170746979	0.4767602271
819	0.8172489443	0.4766161319
820	0.8172489443	0.4764928741
821	0.8172489443	0.4763915727
822	0.8174264381	0.4762717134
823	0.8169004515	0.4761067305
824	0.8174264381	0.4759590696
825	0.8172489443	0.475806291
826	0.8174231907	0.4756126683
827	0.8174199433	0.4754764316
828	0.817768436	0.4752942748
829	0.8181169288	0.4751252483
830	0.818468669	0.4749824439
831	0.8182911752	0.4748285265
832	0.8175941896	0.4746597234
833	0.8177716834	0.4745012629
834	0.8184719164	0.4743061313
835	0.8188204091	0.4741118117
836	0.8188204091	0.473950353
837	0.8188204091	0.4738077361
838	0.8189979029	0.473672151
839	0.8188236565	0.473517638
840	0.8190011503	0.473407085
841	0.8190011503	0.4732514313
842	0.8190011503	0.4731002372
843	0.8190011503	0.4728800713
844	0.8191786441	0.4727192525
845	0.8195303843	0.4724904767
846	0.8198853718	0.4723689192
847	0.8195336317	0.4722314228
848	0.8197078781	0.4720769795
849	0.8197078781	0.4718951993
850	0.8198821245	0.4717543043
851	0.8197046307	0.4716189863
852	0.8200596182	0.4714612482
853	0.8198788771	0.4713117538
854	0.8198788771	0.4711901727
855	0.8198788771	0.4710150882
856	0.8198788771	0.4708674914
857	0.8202306172	0.4707252416
858	0.8200563708	0.4705521667
859	0.8200563708	0.4704253078
860	0.8200563708	0.4702958546
861	0.8202306172	0.4701563598
862	0.8200563708	0.4700084862
863	0.8202306172	0.4698904331
864	0.8200563708	0.4697172159
865	0.8200563708	0.4695443258
866	0.8202306172	0.4693682546
867	0.8202273698	0.4692114856
868	0.8207566038	0.468989815
869	0.8207566038	0.4688282866
870	0.8205823574	0.4686843444
871	0.8207566038	0.4685460809
872	0.8207566038	0.4684139063
873	0.82057911	0.4681991822
874	0.8211050965	0.4680408041
875	0.8211050965	0.4679101348
876	0.8214568367	0.4677657419
877	0.8216310831	0.467597094
878	0.8219828233	0.4674033035
879	0.8219828233	0.4672487012
880	0.8228573026	0.4670541732
881	0.8228573026	0.4668903327
882	0.8228573026	0.4667456502
